Title,Title_URL,Field1,Field2
Micromax Canvas Spark 2,https://www.phonearena.com/phones/Micromax-Canvas-Spark-2_id9682,OS,"Android 5.1 Lollipop
"
Micromax Canvas Spark 2,https://www.phonearena.com/phones/Micromax-Canvas-Spark-2_id9682,Display,"5.0 inches
854 x 480 pixels
"
Micromax Canvas Spark 2,https://www.phonearena.com/phones/Micromax-Canvas-Spark-2_id9682,Camera,"5 MP (Single camera)
2 MP front"
Micromax Canvas Spark 2,https://www.phonearena.com/phones/Micromax-Canvas-Spark-2_id9682,Hardware,"MediaTek
0.75GB RAM"
Micromax Canvas Spark 2,https://www.phonearena.com/phones/Micromax-Canvas-Spark-2_id9682,Storage,"4GB, microSDHC"
Micromax Canvas Spark 2,https://www.phonearena.com/phones/Micromax-Canvas-Spark-2_id9682,Battery,1800 mAh
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,Released,"Jul 31, 2015"
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,Display,"5.0 inches
1280 x 720 pixels
"
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,Camera,"8 MP (Single camera)
2 MP front"
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,Hardware,"Qualcomm Snapdragon 210
1GB RAM"
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,Storage,"8GB, microSDHC"
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,Battery,2200 mAh
Huawei Y6,https://www.phonearena.com/phones/Huawei-Y6_id9708,OS,"Android 5.1 Lollipop
Huawei Emotion UI"
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,Released,"Mar 02, 2015"
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,Display,"5.5 inches
1920 x 1080 pixels
"
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,Camera,"13 MP (Single camera)
5 MP front"
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,Hardware,"MediaTek
2GB RAM"
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,Storage,"16GB, microSDHC"
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,Battery,2900 mAh
Lenovo K3 Note,https://www.phonearena.com/phones/Lenovo-K3-Note_id9561,OS,"Android 5.0 Lollipop
Lenovo Vibe UI"
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,Released,"Jul 30, 2015"
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,Display,"5.0 inches
1280 x 720 pixels
"
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,Camera,"5 MP (Single camera)
2 MP front"
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,Hardware,"Qualcomm Snapdragon 410
1GB RAM"
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,Storage,"8GB, microSDHC"
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,Battery,2500 mAh
Alcatel OneTouch Conquest,https://www.phonearena.com/phones/Alcatel-OneTouch-Conquest_id9560,OS,"Android 5.0 Lollipop
"
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,Released,"Aug 03, 2015"
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,Display,"5.0 inches
1280 x 720 pixels
"
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,Camera,"13 MP (Single camera)
5 MP front"
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,Hardware,"MediaTek
2GB RAM"
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,Storage,"16GB, microSDXC"
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,Battery,2500 mAh
Meizu m2,https://www.phonearena.com/phones/Meizu-m2_id9555,OS,"Android 5.1 Lollipop
Meizu Flyme UI"
Gionee Pioneer P2M,https://www.phonearena.com/phones/Gionee-Pioneer-P2M_id9762,OS,"Android 5.1 Lollipop
Gionee Amigo UI"
Gionee Pioneer P2M,https://www.phonearena.com/phones/Gionee-Pioneer-P2M_id9762,Display,"4.0 inches
800 x 480 pixels
"
Gionee Pioneer P2M,https://www.phonearena.com/phones/Gionee-Pioneer-P2M_id9762,Camera,"5 MP (Single camera)
0.3 MP VGA front"
Gionee Pioneer P2M,https://www.phonearena.com/phones/Gionee-Pioneer-P2M_id9762,Hardware,"MediaTek
1GB RAM"
Gionee Pioneer P2M,https://www.phonearena.com/phones/Gionee-Pioneer-P2M_id9762,Storage,"16GB, microSDHC"
Gionee Pioneer P2M,https://www.phonearena.com/phones/Gionee-Pioneer-P2M_id9762,Battery,3000 mAh
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,Released,"Sep 01, 2015"
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,Display,"5.7 inches
2560 x 1440 pixels
"
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,Camera,"21 MP (Single camera)
5 MP front"
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,Hardware,"Qualcomm Snapdragon 808
3GB RAM"
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,Storage,"64GB, microSDXC"
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,Battery,3000 mAh
Motorola Moto X Style,https://www.phonearena.com/phones/Motorola-Moto-X-Style_id9553,OS,"Android 7.0 Nougat
"
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,Released,"Jul 28, 2015"
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,Display,"5.0 inches
1280 x 720 pixels
"
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,Camera,"13 MP (Single camera)
5 MP front"
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,Hardware,"Qualcomm Snapdragon 410
2GB RAM"
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,Storage,"16GB, microSDHC"
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,Battery,2470 mAh
Motorola Moto G (2015),https://www.phonearena.com/phones/Motorola-Moto-G-2015_id9513,OS,"Android 6.0 Marshmallow
"
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,Released,"Aug 01, 2015"
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,Display,"5.5 inches
1920 x 1080 pixels
"
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,Camera,"21 MP (Single camera)
5 MP front"
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,Hardware,"Qualcomm Snapdragon 615
2GB RAM"
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,Storage,"32GB, microSDXC"
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,Battery,3630 mAh
Motorola Moto X Play,https://www.phonearena.com/phones/Motorola-Moto-X-Play_id9554,OS,"Android 7.1 Nougat
"
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,Released,"Aug 01, 2015"
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,Display,"4.7 inches
960 x 540 pixels
"
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,Camera,"8 MP (Single camera)
2 MP front"
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,Hardware,"Qualcomm Snapdragon 210
1GB RAM"
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,Storage,"16GB, microSDHC"
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,Battery,3000 mAh
CAT S40,https://www.phonearena.com/phones/CAT-S40_id9556,OS,"Android 5.1 Lollipop
"
GIGABYTE GSmart Classic,https://www.phonearena.com/phones/GIGABYTE-GSmart-Classic_id9777,OS,"Android 5.1 Lollipop
"
GIGABYTE GSmart Classic,https://www.phonearena.com/phones/GIGABYTE-GSmart-Classic_id9777,Display,"5.0 inches
1280 x 720 pixels
"
GIGABYTE GSmart Classic,https://www.phonearena.com/phones/GIGABYTE-GSmart-Classic_id9777,Camera,"8 MP (Single camera)
5 MP front"
GIGABYTE GSmart Classic,https://www.phonearena.com/phones/GIGABYTE-GSmart-Classic_id9777,Hardware,"Spreadtrum
1GB RAM"
GIGABYTE GSmart Classic,https://www.phonearena.com/phones/GIGABYTE-GSmart-Classic_id9777,Storage,"8GB, microSDHC"
GIGABYTE GSmart Classic,https://www.phonearena.com/phones/GIGABYTE-GSmart-Classic_id9777,Battery,2000 mAh
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,Released,"Sep 03, 2015"
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,Display,"5.7 inches
2560 x 1440 pixels
"
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,Camera,"21 MP (Single camera)
5 MP front"
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,Hardware,"Qualcomm Snapdragon 808
3GB RAM"
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,Storage,"64GB, microSDXC"
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,Battery,3000 mAh
Motorola Moto X Pure Edition (2015),https://www.phonearena.com/phones/Motorola-Moto-X-Pure-Edition-2015_id9694,OS,"Android 7.0 Nougat
"
