Title,Title_URL,Field1,Time
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,Released,"Aug 03, 2012"
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,Display,"3.7 inches
854 x 480 pixels
"
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,Camera,"5 MP (Single camera)
0.3 MP VGA front"
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,Hardware,"Qualcomm Snapdragon S1
0.5GB RAM"
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,Storage,"1GB, microSDHC"
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,Battery,1650 mAh
Motorola DEFY XT,https://www.phonearena.com/phones/Motorola-DEFY-XT_id6959,OS,"Android 2.3.7
"
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,Released,"Aug 01, 2012"
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,Display,"4.3 inches
960 x 540 pixels
"
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,Camera,"8 MP (Single camera)
0.3 MP VGA front"
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,Hardware,"
1GB RAM"
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,Storage,", microSDHC"
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,Battery,1780 mAh
Motorola ELECTRIFY 2,https://www.phonearena.com/phones/Motorola-ELECTRIFY-2_id7391,OS,"Android 4.0
"
Gionee Gpad G1,https://www.phonearena.com/phones/Gionee-Gpad-G1_id8795,OS,"Android 4.0
"
Gionee Gpad G1,https://www.phonearena.com/phones/Gionee-Gpad-G1_id8795,Display,"5.0 inches
800 x 480 pixels
"
Gionee Gpad G1,https://www.phonearena.com/phones/Gionee-Gpad-G1_id8795,Camera,"8 MP (Single camera)
0.3 MP VGA front"
Gionee Gpad G1,https://www.phonearena.com/phones/Gionee-Gpad-G1_id8795,Hardware,"
0.5GB RAM"
Gionee Gpad G1,https://www.phonearena.com/phones/Gionee-Gpad-G1_id8795,Storage,"4GB, microSDHC"
Gionee Gpad G1,https://www.phonearena.com/phones/Gionee-Gpad-G1_id8795,Battery,2100 mAh
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,Released,"Oct 22, 2012"
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,Display,"4.8 inches
1280 x 720 pixels
"
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,Camera,"8 MP (Single camera)
1.9 MP front"
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,Hardware,"Qualcomm Snapdragon S4 Pro
2GB RAM"
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,Storage,"16GB, microSDXC"
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,Battery,2100 mAh
Samsung Galaxy S III MetroPCS,https://www.phonearena.com/phones/Samsung-Galaxy-S-III-MetroPCS_id7389,OS,"Android 4.0.4
Samsung TouchWiz UI"
ZTE Anthem 4G,https://www.phonearena.com/phones/ZTE-Anthem-4G_id7385,OS,"Android 2.3
"
ZTE Anthem 4G,https://www.phonearena.com/phones/ZTE-Anthem-4G_id7385,Display,"4.3 inches
800 x 480 pixels
"
ZTE Anthem 4G,https://www.phonearena.com/phones/ZTE-Anthem-4G_id7385,Camera,"5 MP (Single camera)
0.3 MP VGA front"
ZTE Anthem 4G,https://www.phonearena.com/phones/ZTE-Anthem-4G_id7385,Hardware,"Qualcomm Snapdragon
0.5GB RAM"
ZTE Anthem 4G,https://www.phonearena.com/phones/ZTE-Anthem-4G_id7385,Storage,"2.3GB, microSDHC"
ZTE Anthem 4G,https://www.phonearena.com/phones/ZTE-Anthem-4G_id7385,Battery,1780 mAh
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,Released,"Aug 23, 2012"
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,Display,"3.5 inches
480 x 320 pixels
"
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,Camera,"5 MP (Single camera)
0.3 MP VGA front"
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,Hardware,"
1GB RAM"
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,Storage,"5GB, microSDHC"
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,Battery,1700 mAh
LG Motion 4G,https://www.phonearena.com/phones/LG-Motion-4G_id7384,OS,"Android 4.0
"
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,Released,"Aug 02, 2012"
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,Display,"3.8 inches
800 x 480 pixels
"
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,Camera,"5 MP (Single camera)
0.3 MP VGA front"
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,Hardware,"
1GB RAM"
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,Storage,"4GB, microSDHC"
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,Battery,1680 mAh
Pantech Marauder,https://www.phonearena.com/phones/Pantech-Marauder_id7383,OS,"Android 4.0
"
ZTE Flash,https://www.phonearena.com/phones/ZTE-Flash_id7382,OS,"Android 4.0
"
ZTE Flash,https://www.phonearena.com/phones/ZTE-Flash_id7382,Display,"4.5 inches
1280 x 720 pixels
"
ZTE Flash,https://www.phonearena.com/phones/ZTE-Flash_id7382,Camera,"12.6 MP (Single camera)
"
